,Sentiments_Abb,file_loc
516,active,"/project/Data/Video_train/Asheville, N.C. - Return Again-aF5Ipu0DIyw.mp4"
517,confident,/project/Data/Video_train/Haywards 5000 Hausla Buland Academy #NaaSeHaanTak TVC-ThgaRoMvgXs.mp4
518,alert,/project/Data/Video_train/Nike 'Fate' Leave Nothing commercial w_ LT & Polamalu-jlXRengzZoc.mp4
519,active,/project/Data/Video_train/Caucus on Super Tuesday _ Bernie Sanders-QRmPD2nMnBc.mp4
520,fashionable,/project/Data/Video_train/Victoria’s Secret - Very Sexy TV Commercial-uDCsU5wUvdQ.mp4
521,amused,/project/Data/Video_train/Viva Pinata Television Commercial-Svg-DvNARKE.mp4
522,cheerful,/project/Data/Video_train/Land & Sea _ Walt Disney World & Disney Cruise Line--B7oSp8hfF0.mp4
523,amused,/project/Data/Video_train/Roger Federer Nike Ad - AWESOME!-mulAi7cno2Y.mp4
524,manly,/project/Data/Video_train/Everlast Boxing Makes You Bigger-HbTs3TLo414.mp4
525,amazed,/project/Data/Video_train/Defensive Driving Online Course-wO7HQ4fNrpA.mp4
526,amused,/project/Data/Video_train/Kia Motors 'Hamster Rap' 2010 Commercial-bxcX-aJG-4k.mp4
527,amused,"/project/Data/Video_train/Deadpool - Gentlemen, Touch Yourself Tonight _ 2016-KsdD1MJXOpk.mp4"
528,creative,/project/Data/Video_train/Tommy Lee Jones TV commercial 1-7Cqz-S8Phv8.mp4
529,amused,/project/Data/Video_train/WONDA COFFEE TVC 2015-bltuzqFTaiw.mp4
530,alert,/project/Data/Video_train/Vote4Energy Affordable-v3m8zkjquYI.mp4
531,amused,/project/Data/Video_train/Big Shake Commercial-qoxRKfaG36Y.mp4
532,amazed,/project/Data/Video_train/Introducing the Steam Controller-8fs2Yh1PFwM.mp4
533,confident,/project/Data/Video_train/Retro Bartles & Jaymes Commercial Thank you for your support-C7WeZbRbxwg.mp4
534,cheerful,/project/Data/Video_train/Oreo India Latest TV Commercial-YfFlaavmqSU.mp4
535,active,/project/Data/Video_train/Neymar Jr Destroys Hi Tech Multicopter (Drone) in Panasonic Commercial 2015-p111hxJYsVo.mp4
536,amused,/project/Data/Video_train/Funny Commercial-The Smart guy.-LPa_NGIIn0c.mp4
537,amused,/project/Data/Video_train/best ad ever-7_dgiNoBWio.mp4
538,alarmed,/project/Data/Video_train/Your Heart Health-zftD8q7SnJg.mp4
539,persuaded,/project/Data/Video_train/CDC - Tips From Former Smokers - Rebecca M. - The New Me-dGef5vWiUow.mp4
540,amazed,/project/Data/Video_train/Battle Camp - Level Up Your Monsters! iOS_Android_Kindle-E1GrfYVfxpY.mp4
541,calm,/project/Data/Video_train/Verrado - Genuine Small Town Charm-dskwrtTt2wI.mp4
542,amused,/project/Data/Video_train/Historical Campaign Ad - Windsurfing (Bush-Cheney '04)-pbdzMLk9wHQ.mp4
543,educated,/project/Data/Video_train/Best anti-smoking ad ever-vxlUCIqbD8M.mp4
544,calm,/project/Data/Video_train/It's More Than a Ring-z_Wah7jp0Jw.mp4
545,amused,/project/Data/Video_train/Gameboy Micro Commercial-wvmnRLFYIIU.mp4
546,sad,/project/Data/Video_train/Anti-Bullying ad-nWJut7KQhI4.mp4
547,confident,/project/Data/Video_train/Jim Jirava - Let’s Get It Done-Gn18qz-iVJI.mp4
548,alert,"/project/Data/Video_train/Award winning , funny Indian ad on eve teasing for AAJ TAK-Kk6Bi23Q7-E.mp4"
549,emotional,/project/Data/Video_train/Folger's Coffee 'Peter Comes Home For Christmas' Full Length-I4kNl7cQdcU.mp4
550,amused,/project/Data/Video_train/Michel Gondry Levi's Commercial-Uj6G1C6c0uw.mp4
551,amazed,/project/Data/Video_train/LG G5 (Silver)  - Official Product Video (1min. introduction)-y5Aj3mEvCa4.mp4
552,amused,/project/Data/Video_train/Xbox One - Aaron Paul-pEoZbXB78NI.mp4
553,educated,/project/Data/Video_train/I Can Do It In 2 Minutes - Red Cross PSA - Official Video-7nr-irGW9bw.mp4
554,amazed,/project/Data/Video_train/Qixels New Official TV Commercial (Play Edit)-k7KgP_jPDwU.mp4
555,creative,/project/Data/Video_train/Far Cry Primal – Official Reveal Trailer [EUROPE]-LJ2iH57Fs3M.mp4
556,active,/project/Data/Video_train/Old Navy - BUILT FOR SPRING (US)-kjc8kOCB3_k.mp4
557,amused,/project/Data/Video_train/Jennifer Lawrence's Awkward Interview _ Vogue-sfluIhj8Ef4.mp4
558,amazed,/project/Data/Video_train/What if a Nursing College...-zeArvKw2Y-c.mp4
559,active,/project/Data/Video_train/FIND YOUR STRONG (60 second)-1KPPtmE079M.mp4
560,active,/project/Data/Video_train/Gucci Spring Summer 2016 Campaign Film-l9b5jym0ig8.mp4
561,cheerful,/project/Data/Video_train/The Musical Proposal - New Ad from Gaana.com-drjhfrRFoeA.mp4
562,inspired,/project/Data/Video_train/How Did the Mountain from Game of Thrones Get So Damn Huge _ GQ-PaXPMCoC6zA.mp4
563,amused,/project/Data/Video_train/I'm running for Parliament! (Official Video)-DG6fhub9HDQ.mp4
564,amused,/project/Data/Video_train/Bud Light 'Clothing Drive' commercial-JiOZ4Bz2d-Q.mp4
565,conscious,/project/Data/Video_train/Lifeway Kefir - Good for more than just you! #AndMe-HK958YS_YNA.mp4
566,alarmed,/project/Data/Video_train/'I Learned It By Watching You' Anti-Drug PSA-Y-Elr5K2Vuo.mp4
567,educated,/project/Data/Video_train/How to Fold a Dress Shirt-YqKMI05XHFk.mp4
568,eager,"/project/Data/Video_train/BBQ's Best Pair - Carl's Jr. and Hardee's Commerical - Sara Underwood, Emily Ratajkowski-1krJqn3smbI.mp4"
569,alert,/project/Data/Video_train/Um Bongo Orginal Advert-wYj5o4kQsXs.mp4
570,amused,/project/Data/Video_train/Vodafone Phone Relay HD Ad-UYTrnuXHces.mp4
571,inspired,/project/Data/Video_train/Faces of Addiction_Faces of Hope - Help is available-WQk6A7eDE5w.mp4
572,educated,/project/Data/Video_train/Elevator Pitch Winner-i6O98o2FRHw.mp4
573,persuaded,/project/Data/Video_train/Scion Pure Process+-CD8wwepuGas.mp4
574,active,/project/Data/Video_train/Andrew Wiggins Swingman-S_JjGZYpy7I.mp4
575,amused,/project/Data/Video_train/California Raisins Commercial (1986)-pM2OK_JaJ9I.mp4
576,cheerful,/project/Data/Video_train/Meow Mix song-LTunhRVyREU.mp4
577,eager,/project/Data/Video_train/The Directional billboard  #McDriveKing-VMjRSnokms8.mp4
578,amused,/project/Data/Video_train/cleaning gum-LpjojQea7Lw.mp4
579,creative,/project/Data/Video_train/Battle At F-Stop Ridge-awq90APEVgw.mp4
580,fashionable,/project/Data/Video_train/NAC Jewellers Presents - Muhurtham Collection-ysgwcKNdWg0.mp4
581,amused,/project/Data/Video_train/Job Interview - Pepsi Max-HKV0QuQsonk.mp4
582,amazed,/project/Data/Video_train/June Intelligent Oven-lCuLxqGd0go.mp4
583,amazed,"/project/Data/Video_train/With Disney FastPass+, You Can.... _ Walt Disney World--D-jpc741rw.mp4"
584,inspired,/project/Data/Video_train/Flint _ Bernie 2016-0jBFyck8J5A.mp4
585,inspired,/project/Data/Video_train/Chromebook - The (always) new computer-oLUPlTA9gsY.mp4
586,alert,/project/Data/Video_train/Under Armour's 'HOW IT ENDS' starring Stephen Curry-Cqs2F-lpGrA.mp4
587,alert,/project/Data/Video_train/Classic 1960' Dr. Pepper Ad-l1gZkf_-UyI.mp4
588,persuaded,/project/Data/Video_train/Green Police - Audi Super Bowl Ad-Ml54UuAoLSo.mp4
589,eager,/project/Data/Video_train/NIKE 'The Getaway'-uww_MqZD1Tw.mp4
590,emotional,/project/Data/Video_train/2014 Chevy Commercial - Maddie-3t6bLugtJkQ.mp4
591,alert,/project/Data/Video_train/Meet Nest Cam Indoor-orc5fBf14vs.mp4
592,amazed,/project/Data/Video_train/United we fight!-d6gJ6dACtqc.mp4
593,alert,/project/Data/Video_train/Driving The Left Nuts!-GqnjzONrPiA.mp4
594,calm,/project/Data/Video_train/Are You A Fast Food Burger Expert-58ldzvk0t50.mp4
595,empathetic,/project/Data/Video_train/NO MORE PSA CAMPAIGN 'ANTHEM'  -60-j70ha1PUlqk.mp4
596,eager,/project/Data/Video_train/McDonald's Value Pack Commercial (1985)-VoP0tAvHcGY.mp4
597,emotional,/project/Data/Video_train/I want...-rskFaiDIEwA.mp4
598,amused,/project/Data/Video_train/This Is AdBlock (and the last video ad you'll ever see)-9iL8pGHgBjU.mp4
599,alarmed,/project/Data/Video_train/Dear Mom and Dad -- Distracted Driving Video-_krbxXawoAU.mp4
600,conscious,/project/Data/Video_train/PSA - STOP BULLYING-__C7sd_UDU0.mp4
601,active,/project/Data/Video_train/Air Jordan I commercial - Not Meant To Fly-6Obj5eoSpu8.mp4
602,alert,/project/Data/Video_train/Maze Runner - The Scorch Trials _ Official Trailer [HD] _ 20th Century FOX--44_igsZtgU.mp4
603,amused,/project/Data/Video_train/Stig Takes A Vacation - Teaser _ Top Gear-jO3K0B3kLZs.mp4
604,alert,/project/Data/Video_train/BROCK LESNAR 'SUPLEX CITY' TRAILER FOR WWE 2K17-z6Pj5oJzYLM.mp4
605,educated,/project/Data/Video_train/Piracy it's a crime-HmZm8vNHBSU.mp4
606,amazed,/project/Data/Video_train/Zip Zap Zoom Tara Song from Chhota Bheem Himalayan Adventure-3RnT8kVXbHA.mp4
607,amused,/project/Data/Video_train/The Jungle Book AMAZING New 360° Video (Movie HD)-dKj4PDldebc.mp4
608,cheerful,/project/Data/Video_train/INSTAX Mini 8 15ec Video-Xr4SYrOzYps.mp4
609,educated,/project/Data/Video_train/“I Can Afford College” Music Video_Advertisement  -15-ie621R03ZcU.mp4
610,inspired,/project/Data/Video_train/Big Top Cupcake Commercial - As Seen on TV Chat-pc9gcKjvzkE.mp4
611,educated,/project/Data/Video_train/HSBC Ad-JK_NinOmFWw.mp4
612,amused,/project/Data/Video_train/Farting Dinosaur Milk Ad-ghex3MkcoJw.mp4
613,active,/project/Data/Video_train/NBA Christmas Day Big Color Jerseys Commercial-bWKgzgGNi0E.mp4
614,amused,/project/Data/Video_train/NIKE MVPuppets 'Three Rings' (in HD)-MP-p9i85sNc.mp4
615,amused,/project/Data/Video_train/Snickers Mr T - Speedwalker July 08-OkT_d2OTgv0.mp4
616,active,/project/Data/Video_train/Alfonso Ribeiro Breakin' and Poppin'-Sd4C8_FMdjA.mp4
617,eager,/project/Data/Video_train/Cómo hacer ensalada de frijoles _ Knorr® Sabor-lVQsqs7xCb8.mp4
618,sad,/project/Data/Video_train/CDC - Tips from Former Smokers - Sharon A.'s Story-O7jAhwbUfNE.mp4
619,amused,/project/Data/Video_train/Pepsi Ad from 1996 - Coke Guy Caught on Cam (Your Cheatin' Heart)-TnXArm-NViI.mp4
620,amused,/project/Data/Video_train/Axe prostitute commercial-CkF1rck0hIc.mp4
621,amused,/project/Data/Video_train/Gangsta Cookie Cutters are a Rapper's Delight-jcC3xM8Wa1w.mp4
622,alert,/project/Data/Video_train/Original Tyco Doctor Dreadful Food Lab Commercial-bfs8hVNvVik.mp4
623,alert,/project/Data/Video_train/Anuncio De Coca-Cola Con Osos Polares--DFuMqROFCQ.mp4
624,active,/project/Data/Video_train/Gushers Fruit Snacks-TiWbtpX4jsI.mp4
625,amazed,/project/Data/Video_train/Xavier McDaniel - ECOT 11th Grader-a0YTHkqtzOI.mp4
626,amused,/project/Data/Video_train/Latest Virgin Mobile Commercial - Damn Funny-ZnbMEkpBs48.mp4
627,amazed,/project/Data/Video_train/Taylor Digital Measuring Cup and Scale-qPdSUywxbR8.mp4
628,cheerful,/project/Data/Video_train/Almarai Fresh Milk TVC _ What Love Tastes Like _Perfect Breakfast-pgheNRqftos.mp4
629,empathetic,/project/Data/Video_train/Barack Obama Ad - 'Mother'--aR3Gpsn4v4.mp4
630,amused,/project/Data/Video_train/OMG BISCOFF SPREAD-_BZsIY6PUPU.mp4
631,persuaded,/project/Data/Video_train/0_30 Clear Skin Routine with Blemish Remedy-A5Rnnwk9jOA.mp4
632,amused,/project/Data/Video_train/An official apology to the people of Ireland from KFC #SorryNotSorry-zKQbsrRutvE.mp4
633,amused,/project/Data/Video_train/Funny budweiser dog commercials - Superbowl-NFg3HBMJyV4.mp4
634,amused,/project/Data/Video_train/UNCUT - Brisk Eminem Super Bowl Commercial 2011-CCBnUx5uMqE.mp4
635,active,/project/Data/Video_train/#Fantastico Tiago from Tata Motors-K1HaaiNUTCM.mp4
636,eager,/project/Data/Video_train/Racist or not Australian KFC Commercial-ojqMGlqYHPg.mp4
637,eager,/project/Data/Video_train/SUPER COFFEE - What a smile tastes like!-vQYStgWhejA.mp4
638,amused,/project/Data/Video_train/Subway Commercial feat CIMORELLI-wcAXkD9DjD8.mp4
639,amused,/project/Data/Video_train/Guinness advert - 'Men and women shouldn't live together'-hieKgQNQpMA.mp4
640,inspired,"/project/Data/Video_train/60 Seconds in the Red Chair, Bryan Ransom-NWug8UKCZxo.mp4"
641,amused,/project/Data/Video_train/Ribena Advert – You Can’t Get Any More Ribenary-HTOP6TOJwOI.mp4
642,amazed,/project/Data/Video_train/Advance Auto Parts - Crescendo-GMovhjpIegg.mp4
643,active,"/project/Data/Video_train/NHL 16 _ Official E3 Gameplay Trailer _ Xbox One, PS4-IDumJG4RXt8.mp4"
644,amused,/project/Data/Video_train/Shine.com TVC 2015 Advertisement - Lag Gayi Vaat - GAMLA-NmCKcaAlWZI.mp4
645,calm,/project/Data/Video_train/Boy Meets Girl on Oahu - #LetHawaiiHappen-Hqhn3eiNTr0.mp4
646,conscious,/project/Data/Video_train/Domestic Violence PSA-MyD1lK8qr14.mp4
647,sad,/project/Data/Video_train/NO MORE PSA - 'Speechless'  -30 - Hilary Swank-G9ZvxYcPJk8.mp4
648,amazed,/project/Data/Video_train/GCU Private. Christian. Affordable.-CGb4s-Hix90.mp4
649,alarmed,/project/Data/Video_train/Inconvenient Fact - Support for Ethanol Mandates Crumbling-__uCQMKry3w.mp4
650,amused,/project/Data/Video_train/اعلان اكثر من رائع - Cute adv-_gXnfGIc1Tk.mp4
651,disturbed,/project/Data/Video_train/Goat Simulator Official Launch Trailer-dvWGLcdI8o8.mp4
652,amazed,/project/Data/Video_train/BILAL - A New Breed of Hero Movie 2nd Teaser Trailer │Sep 2016-X7ifDf6chNw.mp4
653,amazed,/project/Data/Video_train/Stand As One-w-lOJDXt7ag.mp4
654,amazed,/project/Data/Video_train/Jeter - Steinbrenner VISA Commercial-yH7BaQEguYs.mp4
655,amused,/project/Data/Video_train/Aprilia - 'Sperm Bank' - advert-F4dQ0RchtJw.mp4
656,eager,/project/Data/Video_train/Snickers TVC-yf39vt0MKug.mp4
657,creative,/project/Data/Video_train/Cadbury 5Star TV Ad-wuzlcAKPoDg.mp4
658,cheerful,/project/Data/Video_train/Littlest Pet Shop Toys - 'LPS Shuttle Playset!' Official T.V. Spot-PE1CuvlqlmE.mp4
659,amused,"/project/Data/Video_train/hair cut advertisement India, funny ads, India advertisement-V7g4e5m5aRc.mp4"
660,alarmed,/project/Data/Video_train/The Guardian's 1986 'Points of view' advert-_SsccRkLLzU.mp4
661,amused,/project/Data/Video_train/Heineken Blind Date - funny commercial-r0m0tP0nR_0.mp4
662,amused,/project/Data/Video_train/Sportscenter Commercial Big Buddy-q0rSbR80GQk.mp4
663,eager,/project/Data/Video_train/New KITKAT SENSES Made with Slow Churned Chocolate _ Introductory Film(Ad)-3wdaADBIoH8.mp4
664,active,/project/Data/Video_train/Find Your Next RV at Lazydays RV-mrh9tPkQwCY.mp4
665,fashionable,/project/Data/Video_train/Worth New York Spring 2016 Campaign Video ( -15 Cut)-solPCNc_0Ww.mp4
666,cheerful,/project/Data/Video_train/Travis Tedford - Welch's Grape Juice Commercial-XCrhZswcukk.mp4
667,amused,/project/Data/Video_train/Will Ferrell Super Bowl Ad (Hi-Res) - Old Milwaukee-YjzesjojNhA.mp4
668,amused,/project/Data/Video_train/Paper Mario commercial-RZSkUTWZyeA.mp4
669,amused,/project/Data/Video_train/zippo advertisement-2RHEjneBRak.mp4
670,amazed,/project/Data/Video_train/Clash of Kings- Fight for Honor!  (English)-Jy36yeOO4ts.mp4
671,amused,/project/Data/Video_train/Reply All advertisement for Superbowl XLV - Full Version-1dc1eKHgy_o.mp4
672,alarmed,/project/Data/Video_train/Youth Alcohol 2016-mcP_f1UEQVo.mp4
673,alert,/project/Data/Video_train/Smoking Kill - funny ad-YRpzk1oQ5jQ.mp4
674,calm,/project/Data/Video_train/Lawn Care at Killingsworth Environmental-1GvKSd5g8eA.mp4
675,active,/project/Data/Video_train/Kobe Bryant vs Lebron James Vitamin Water-v9ilXA1bHg8.mp4
676,cheerful,/project/Data/Video_train/Classic Doublemint Gum Commercial (1985)-F7hwvWIK1eM.mp4
677,amazed,/project/Data/Video_train/Bench - Affordable Online Bookkeepers-TyDl1yEVQ_I.mp4
678,active,/project/Data/Video_train/Air New Zealand staff have nothing to hide-DZRmcKX85so.mp4
679,sad,/project/Data/Video_train/Don't Give Up-UU0SP91D9Js.mp4
680,alarmed,/project/Data/Video_train/Scary German Commercial-FnJ645xph3o.mp4
681,confident,/project/Data/Video_train/Dettol Antibacterial Original Bar Soap-7GKuZu9xkj0.mp4
682,cheerful,/project/Data/Video_train/Discover the Joy of Silk-WxG7LgQ2Sig.mp4
683,alert,/project/Data/Video_train/Salvador Dali - Lanvin Chocolate-rK4Bh_arF-E.mp4
684,amused,/project/Data/Video_train/A very funny beer commercial-TMN_cfCSFWw.mp4
685,alert,/project/Data/Video_train/Time for Timer PSA - 'Hanker for a Hunk o' Cheese' (1970s)-U3jgo5ea_zc.mp4
686,eager,/project/Data/Video_train/McDonalds Philippines Commercial 'First Love' Huling El Bimbo-8VdG8eCxors.mp4
687,inspired,/project/Data/Video_train/Trust-vft5RNJ-U_4.mp4
688,amazed,/project/Data/Video_train/Game of War - Office Army - Strategy MMO-9grrfloJCgc.mp4
689,amused,/project/Data/Video_train/Late-Night Showdown - Jordan Klepper and Mike Yard Are Going Nowhere Fast-VyLXZ2GQS7Y.mp4
690,grateful,/project/Data/Video_train/ICICI bank 2012 new Ad reward points Love surprises Indian-WSDvRkmTNA4.mp4
691,active,/project/Data/Video_train/W by Worth Spring 2016 Campaign Video ( -15 Cut)-jgKyFA5i9Ng.mp4
692,amused,/project/Data/Video_train/Golf Funny Commercial-64RHWvy_SoI.mp4
693,angry,/project/Data/Video_train/Freedom’s Safest Place _ Disarmament-dOZjgXEAsAA.mp4
694,active,"/project/Data/Video_train/GoPro - Ava, Baby Skateboarder - TV Commercial-Bl6PZDkaT1I.mp4"
695,calm,/project/Data/Video_train/Desiigner 'Timmy Turner' Freestyle - XXL Freshman 2016-5AP5zQrJRIg.mp4
696,amazed,/project/Data/Video_train/PRIV. BlackBerry Secure Smartphone Powered by Android-Lhozndg5VSE.mp4
697,empathetic,/project/Data/Video_train/Child Breaks Down On Dr. Drew Because He Was Bullied & Teased For Looking Like An Alien-gKqqoQ0ug-Y.mp4
698,empathetic,/project/Data/Video_train/Michael J. Fox-a9WB_PXjTBo.mp4
699,active,/project/Data/Video_train/NIPPON PAINT - Hidupkan Imajinasi Tanpa Kompromi-W3U_Vxmqn9Q.mp4
700,alert,/project/Data/Video_train/Skyfall James Bond 007 _ Crack the Case Heineken spot (2012) Daniel Craig-VHz30rlNHCc.mp4
701,active,/project/Data/Video_train/Jerome's Furniture _ 61st Birthday Celebration!-xM_VQ3NZsf8.mp4
702,cheerful,/project/Data/Video_train/Continental Cup a Soup - Soup & Sandwich-RsKcfsTznYE.mp4
703,eager,"/project/Data/Video_train/Spacious, Mid-sized Ships-8sjUcp0UQI0.mp4"
704,active,/project/Data/Video_train/Presenting Royal Caribbean's Harmony of the Seas-OJVwWi9s4z4.mp4
705,amused,/project/Data/Video_train/Alvin and the Chipmunks - The Road Chip _ Official Trailer [HD] _ Fox Family Entertainment-UI_nj4NXpoQ.mp4
706,active,"/project/Data/Video_train/Watch WWE Money in the Bank 2016 on June 19, live on WWE Network-qo9lEPZ_0ao.mp4"
707,alert,/project/Data/Video_train/Upin & Ipin - Komuniti Bebas Denggi - Kit Perlindungan Denggi - 1-IqlrxA2Atdg.mp4
708,active,/project/Data/Video_train/PUMA IGNITE _ MAXIMUM ENERGY RETURN FOR EVERY RUN-RMqv_GlnyR4.mp4
709,eager,/project/Data/Video_train/Subway Commercial  Nov 2010-dZmuTGFusIs.mp4
710,cheerful,/project/Data/Video_train/Florida Travel - Adventures in 30 Seconds-ZUJudM0jSPA.mp4
711,active,/project/Data/Video_train/Nike - What's Your Motivation-6uhCxBk6cQE.mp4
712,eager,/project/Data/Video_train/Taco Hummus-vTbG8OQcE1o.mp4
713,active,/project/Data/Video_train/Sony Bravia Paint Ad-GURvHJNmGrc.mp4
714,cheerful,/project/Data/Video_train/Divyam by Tanishq-mcpgGmo8_4o.mp4
715,amused,"/project/Data/Video_train/Yellow Pages (Australian ad, 1985)-IdblOCGGeHM.mp4"
716,eager,/project/Data/Video_train/AirTel Advertisement - A R Rahman classic composition world famous ad-5fq9iIxxA1s.mp4
717,eager,/project/Data/Video_train/VINTAGE 80'S REESES PEANUT BUTTER CUPS COMMERCIAL W WALKERS-DJLDF6qZUX0.mp4
718,amused,/project/Data/Video_train/FRITO BANDITO COMMERCIAL-fOUilxJWm24.mp4
719,amused,/project/Data/Video_train/Paranormal Snacktivity-HtYOm59fys8.mp4
720,active,/project/Data/Video_train/Iron Sport Gym's Planet Fitness response-qBRG4RkE51Q.mp4
721,creative,/project/Data/Video_train/FIFA 14 TV Commercial - We Are FIFA 14-FVsgso273EE.mp4
722,alert,/project/Data/Video_train/Embrace Life - A new online ad with a twist-p916yeFa2Xk.mp4
723,disturbed,/project/Data/Video_train/Keep America Beautiful - (Crying-Indian) - 70s PSA Commercial-8Suu84khNGY.mp4
724,eager,/project/Data/Video_train/Steve Carell - Brown's Chicken commercial-faAZo970RA4.mp4
725,amused,/project/Data/Video_train/IKEA Commercial (Twins)-z4-O-tLsCDo.mp4
726,cheerful,/project/Data/Video_train/Nobody Likes Sad Pandas!-n6sAGZ5F7Cc.mp4
727,amused,/project/Data/Video_train/Snickers Mr Bean TV advert - Subtitled-qIVDxL2lgN4.mp4
728,active,/project/Data/Video_train/Guinness Horse Surfer Ad-zcdDg30VBgo.mp4
729,alert,/project/Data/Video_train/RSA - Don't look back-rKUNJMrFeUs.mp4
730,amused,/project/Data/Video_train/BAND-AID-WxgBXJM6zJ8.mp4
731,amused,/project/Data/Video_train/Old Cell Phone commercial-rWfqkrAM8IY.mp4
732,amused,/project/Data/Video_train/Best Milk Commercial ever-cDzYgqkQ_lE.mp4
733,amazed,/project/Data/Video_train/Tod’s Band Leo Mania-KVgijMlXMps.mp4
734,alert,/project/Data/Video_train/Burger King Big Kids Meal_Pokémon Trading Night - Commercial-nZH6YKmtQV8.mp4
735,amused,/project/Data/Video_train/Ship My Pants Kmart Commercial [HD]-_8enIDEKrzA.mp4
736,calm,/project/Data/Video_train/Fry's Turkish Delight-qAY_o36paQ0.mp4
737,active,"/project/Data/Video_train/Sit 'n Sleep, Bed Match Technology-JrOCJMcs7Z0.mp4"
738,calm,/project/Data/Video_train/How To Get Baby To Sleep with a Bedtime Routine _ JOHNSONS®-hX1S4U33IgI.mp4
739,alarmed,/project/Data/Video_train/Datsun Go scores Zero Stars-sRzh8uLA1tM.mp4
740,cheerful,/project/Data/Video_train/뽀로로주차장 TV광고 동영상   토이스타일-t0EFibqP-7w.mp4
741,amused,/project/Data/Video_train/HARIBO Tangfastics Advert 2016 - Pitch-qw6_5t8XfSk.mp4
742,amused,/project/Data/Video_train/Official Mobile Strike Super Bowl 50 TV Commercial _ Arnold's Fight [EXTENDED Edition]-fF0ZmIf7H9k.mp4
743,amazed,/project/Data/Video_train/Cadbury's Gorilla 60 second commercial-SP8E6ouSiC0.mp4
744,alert,/project/Data/Video_train/Vote Different-6h3G-lMZxjo.mp4
745,amused,/project/Data/Video_train/The Simpsons - Tapped Out -- Get It On Google Play-GgiDBuBxl6w.mp4
746,inspired,/project/Data/Video_train/Paul Rodriguez - Why I Skate _ It's Different On My Mountain-Zk1LRs39xGE.mp4
747,amused,/project/Data/Video_train/blowjob funny commercial 'banned'-PTXV1QRAsko.mp4
748,cheerful,/project/Data/Video_train/Burger King Spongebob Commercial (HD) - Extended-rm6d2oy8GRk.mp4
749,fashionable,/project/Data/Video_train/Crazy Nike Commercial-mSzGpC5Xihc.mp4
750,cheerful,/project/Data/Video_train/🏃💨 Subway Surfers - Official Launch Trailer-tYysQOHTimo.mp4
751,alert,/project/Data/Video_train/Oscar Health Insurance - 'You Never Know'-F0yNIR6IrCg.mp4
752,cheerful,/project/Data/Video_train/Sonic Mania - 25th Anniversary Debut-KxmtYdEWVzo.mp4
753,amused,/project/Data/Video_train/DnB NOR Clooney ad-C_8TGTKdrlY.mp4
754,inspired,/project/Data/Video_train/Super Mario Bros. 3 video game commercial-pQO2VtV1PNg.mp4
755,calm,/project/Data/Video_train/Cadbury's Flake advert - 1985-7aUTdYsZda8.mp4
756,inspired,/project/Data/Video_train/Dove _ Hannah’s story #MyBeautyMySay-o3GksS6WGgY.mp4
757,amazed,/project/Data/Video_train/Disney Springs Hyperlapse _ Walt Disney World-BUpky0h5_PE.mp4
758,amazed,/project/Data/Video_train/Learn more about the Breville Oracle™-sjBPrJJ6qtU.mp4
759,eager,/project/Data/Video_train/'Break the Habit' - Childhood Obesity Ad Austrailia-82kYQ7j7X2s.mp4
760,alarmed,/project/Data/Video_train/Alfonso - Common Sense Media - Commercial-19EW551nCS4.mp4
761,active,/project/Data/Video_train/Melo Commercial 'Elevate Your Game' - Carmelo Anthony-TypQ-iYqiLg.mp4
762,active,/project/Data/Video_train/DC SHOES - WOMEN'S SPRING 2012 COLLECTION-azJEx1URHsI.mp4
763,amazed,/project/Data/Video_train/Corrosive-KbmJLVrFvuc.mp4
764,alert,/project/Data/Video_train/New Zealand ACC Ad _ Fruit - E - Bars-u51OxZF1ltI.mp4
765,active,"/project/Data/Video_train/Football (soccer) pepsi ads, featuring football idols-nusZoYBbibo.mp4"
766,eager,/project/Data/Video_train/MILO For All-kjBGSC1ond8.mp4
767,active,/project/Data/Video_train/Introducing the Nintendo Entertainment System - NES Classic Edition-qAGVilt3Rls.mp4
768,angry,/project/Data/Video_train/New Spot - Exposing Union Hypocrisy-TM0uO6z3zsQ.mp4
769,disturbed,/project/Data/Video_train/The milk advert Fonterra doesn't want you to see-SvvLsAMsOJM.mp4
770,amazed,/project/Data/Video_train/Intro to Acorns-2k88FGifTFI.mp4
771,alert,"/project/Data/Video_train/Motorcyclists, put yourself in their shoes-T8y7uf2LmkA.mp4"
772,amused,/project/Data/Video_train/Aperture Investment Opportunity #3 - 'Turrets'-6i-nMWgBUp0.mp4
773,creative,/project/Data/Video_train/Funny commercial from the Philippines - I HATE ME-t_HrcY8AWhg.mp4
774,amused,/project/Data/Video_train/Survival of the Fittest - Sabertooth-CPtRohwHMB4.mp4
775,persuaded,"/project/Data/Video_train/January - March _ At Season’s Peak - Strawberries from Plant City, Florida at Publix-YydYJoz36UU.mp4"
776,persuaded,/project/Data/Video_train/Hilarious rugby ad-7pi6BtYXD1w.mp4
777,eager,/project/Data/Video_train/David Beckham Sofia Vergara Diet Pepsi Beach Twitter-0B79RkBxSgU.mp4
778,calm,/project/Data/Video_train/Colorado Tourism Commercial - No Waiting -  -30s-Bxaq80Hp5bY.mp4
779,amused,/project/Data/Video_train/Washing - M&M's Commercial-M7-KYW_FgqM.mp4
780,cheerful,/project/Data/Video_train/Kaleidoscope Animated TV Commercial - Sherwin-Williams-zN1id2dmH3o.mp4
781,alert,/project/Data/Video_train/Disney's The Jungle Book - In Theatres April 15 in 3D-iJgnAHEHBYI.mp4
